dataset,model_a,model_b,cliffs_delta,abs_delta,effect_size,direction
synonym_setB,SapBERT-from-PubMedBERT-fulltext,e5-large-v2,-0.3138,0.3138,small,e5-large-v2 > SapBERT-from-PubMedBERT-fulltext
synonym_setB,SapBERT-from-PubMedBERT-fulltext,multilingual-e5-large,-0.3022,0.3022,small,multilingual-e5-large > SapBERT-from-PubMedBERT-fulltext
synonym_setB,ETE3,e5-large-v2,-0.2942,0.2942,small,e5-large-v2 > ETE3
synonym_setB,SapBERT-from-PubMedBERT-fulltext,e5-small-v2,-0.2883,0.2883,small,e5-small-v2 > SapBERT-from-PubMedBERT-fulltext
synonym_setB,ETE3,multilingual-e5-large,-0.2826,0.2826,small,multilingual-e5-large > ETE3
synonym_setB,ETE3,e5-small-v2,-0.2687,0.2687,small,e5-small-v2 > ETE3
synonym_setB,Bio_ClinicalBERT,e5-large-v2,-0.2626,0.2626,small,e5-large-v2 > Bio_ClinicalBERT
synonym_setB,SapBERT-from-PubMedBERT-fulltext,S-PubMedBert-MS-MARCO,-0.2565,0.2565,small,S-PubMedBert-MS-MARCO > SapBERT-from-PubMedBERT-fulltext
synonym_setB,RapidFuzz,e5-large-v2,-0.2523,0.2523,small,e5-large-v2 > RapidFuzz
synonym_setB,Bio_ClinicalBERT,multilingual-e5-large,-0.2511,0.2511,small,multilingual-e5-large > Bio_ClinicalBERT
synonym_setB,RapidFuzz,multilingual-e5-large,-0.2407,0.2407,small,multilingual-e5-large > RapidFuzz
synonym_setB,Bio_ClinicalBERT,e5-small-v2,-0.2372,0.2372,small,e5-small-v2 > Bio_ClinicalBERT
synonym_setB,ETE3,S-PubMedBert-MS-MARCO,-0.2369,0.2369,small,S-PubMedBert-MS-MARCO > ETE3
synonym_setB,bge-base-en-v1.5,SapBERT-from-PubMedBERT-fulltext,0.2361,0.2361,small,bge-base-en-v1.5 > SapBERT-from-PubMedBERT-fulltext
synonym_setB,BM25,SapBERT-from-PubMedBERT-fulltext,0.2317,0.2317,small,BM25 > SapBERT-from-PubMedBERT-fulltext
synonym_setB,RapidFuzz,e5-small-v2,-0.2268,0.2268,small,e5-small-v2 > RapidFuzz
synonym_setB,pubmedbert-base-embeddings,SapBERT-from-PubMedBERT-fulltext,0.2199,0.2199,small,pubmedbert-base-embeddings > SapBERT-from-PubMedBERT-fulltext
synonym_setB,SapBERT-from-PubMedBERT-fulltext,all-MiniLM-L6-v2,-0.2176,0.2176,small,all-MiniLM-L6-v2 > SapBERT-from-PubMedBERT-fulltext
synonym_setB,bge-base-en-v1.5,ETE3,0.2165,0.2165,small,bge-base-en-v1.5 > ETE3
synonym_setB,BM25,ETE3,0.2121,0.2121,small,BM25 > ETE3
synonym_setB,Bio_ClinicalBERT,S-PubMedBert-MS-MARCO,-0.2053,0.2053,small,S-PubMedBert-MS-MARCO > Bio_ClinicalBERT
synonym_setB,SapBERT-from-PubMedBERT-fulltext,all-mpnet-base-v2-bioasq-matryoshka,-0.2043,0.2043,small,all-mpnet-base-v2-bioasq-matryoshka > SapBERT-from-PubMedBERT-fulltext
synonym_setB,ETE3,pubmedbert-base-embeddings,-0.2003,0.2003,small,pubmedbert-base-embeddings > ETE3
synonym_setB,ETE3,all-MiniLM-L6-v2,-0.198,0.198,small,all-MiniLM-L6-v2 > ETE3
synonym_setB,e5-large-v2,ClinicalBERT,0.1961,0.1961,small,e5-large-v2 > ClinicalBERT
synonym_setB,RapidFuzz,S-PubMedBert-MS-MARCO,-0.195,0.195,small,S-PubMedBert-MS-MARCO > RapidFuzz
synonym_setB,bge-base-en-v1.5,Bio_ClinicalBERT,0.1849,0.1849,small,bge-base-en-v1.5 > Bio_ClinicalBERT
synonym_setB,ETE3,all-mpnet-base-v2-bioasq-matryoshka,-0.1847,0.1847,small,all-mpnet-base-v2-bioasq-matryoshka > ETE3
synonym_setB,SapBERT-from-PubMedBERT-fulltext,BioS-MiniLM,-0.1845,0.1845,small,BioS-MiniLM > SapBERT-from-PubMedBERT-fulltext
synonym_setB,multilingual-e5-large,ClinicalBERT,0.1845,0.1845,small,multilingual-e5-large > ClinicalBERT
synonym_setB,BM25,Bio_ClinicalBERT,0.1805,0.1805,small,BM25 > Bio_ClinicalBERT
synonym_setB,SapBERT-from-PubMedBERT-fulltext,all-mpnet-base-v2,-0.1797,0.1797,small,all-mpnet-base-v2 > SapBERT-from-PubMedBERT-fulltext
synonym_setB,bge-base-en-v1.5,RapidFuzz,0.1746,0.1746,small,bge-base-en-v1.5 > RapidFuzz
synonym_setB,e5-small-v2,ClinicalBERT,0.1706,0.1706,small,e5-small-v2 > ClinicalBERT
synonym_setB,BM25,RapidFuzz,0.1702,0.1702,small,BM25 > RapidFuzz
synonym_setB,pubmedbert-base-embeddings,Bio_ClinicalBERT,0.1687,0.1687,small,pubmedbert-base-embeddings > Bio_ClinicalBERT
synonym_setB,Bio_ClinicalBERT,all-MiniLM-L6-v2,-0.1664,0.1664,small,all-MiniLM-L6-v2 > Bio_ClinicalBERT
synonym_setB,ETE3,BioS-MiniLM,-0.1649,0.1649,small,BioS-MiniLM > ETE3
synonym_setB,ETE3,all-mpnet-base-v2,-0.1601,0.1601,small,all-mpnet-base-v2 > ETE3
synonym_setB,pubmedbert-base-embeddings,RapidFuzz,0.1584,0.1584,small,pubmedbert-base-embeddings > RapidFuzz
synonym_setB,RapidFuzz,all-MiniLM-L6-v2,-0.1561,0.1561,small,all-MiniLM-L6-v2 > RapidFuzz
synonym_setB,Bio_ClinicalBERT,all-mpnet-base-v2-bioasq-matryoshka,-0.1531,0.1531,small,all-mpnet-base-v2-bioasq-matryoshka > Bio_ClinicalBERT
synonym_setB,RapidFuzz,all-mpnet-base-v2-bioasq-matryoshka,-0.1428,0.1428,negligible,all-mpnet-base-v2-bioasq-matryoshka > RapidFuzz
synonym_setB,ClinicalBERT,S-PubMedBert-MS-MARCO,-0.1388,0.1388,negligible,S-PubMedBert-MS-MARCO > ClinicalBERT
synonym_setB,e5-large-v2,all-mpnet-base-v2,0.1342,0.1342,negligible,e5-large-v2 > all-mpnet-base-v2
synonym_setB,Bio_ClinicalBERT,BioS-MiniLM,-0.1333,0.1333,negligible,BioS-MiniLM > Bio_ClinicalBERT
synonym_setB,e5-large-v2,BioS-MiniLM,0.1293,0.1293,negligible,e5-large-v2 > BioS-MiniLM
synonym_setB,Bio_ClinicalBERT,all-mpnet-base-v2,-0.1285,0.1285,negligible,all-mpnet-base-v2 > Bio_ClinicalBERT
synonym_setB,RapidFuzz,BioS-MiniLM,-0.123,0.123,negligible,BioS-MiniLM > RapidFuzz
synonym_setB,multilingual-e5-large,all-mpnet-base-v2,0.1226,0.1226,negligible,multilingual-e5-large > all-mpnet-base-v2
synonym_setB,bge-base-en-v1.5,ClinicalBERT,0.1184,0.1184,negligible,bge-base-en-v1.5 > ClinicalBERT
synonym_setB,RapidFuzz,all-mpnet-base-v2,-0.1182,0.1182,negligible,all-mpnet-base-v2 > RapidFuzz
synonym_setB,SapBERT-from-PubMedBERT-fulltext,ClinicalBERT,-0.1177,0.1177,negligible,ClinicalBERT > SapBERT-from-PubMedBERT-fulltext
synonym_setB,multilingual-e5-large,BioS-MiniLM,0.1177,0.1177,negligible,multilingual-e5-large > BioS-MiniLM
synonym_setB,BM25,ClinicalBERT,0.1139,0.1139,negligible,BM25 > ClinicalBERT
synonym_setB,e5-large-v2,all-mpnet-base-v2-bioasq-matryoshka,0.1095,0.1095,negligible,e5-large-v2 > all-mpnet-base-v2-bioasq-matryoshka
synonym_setB,e5-small-v2,all-mpnet-base-v2,0.1087,0.1087,negligible,e5-small-v2 > all-mpnet-base-v2
synonym_setB,e5-small-v2,BioS-MiniLM,0.1038,0.1038,negligible,e5-small-v2 > BioS-MiniLM
