question,ground_truth
Which organism is most commonly isolated from tissue and abscess wound cultures?,STAPH AUREUS COAG + is the most commonly isolated organism from wound and tissue cultures.
What are the five most frequently isolated organisms from wound and tissue infections?,"The five most frequent wound pathogens are: STAPH AUREUS COAG +, ESCHERICHIA COLI, PSEUDOMONAS AERUGINOSA, STAPHYLOCOCCUS, COAGULASE NEGATIVE, PROTEUS MIRABILIS."
What is the methicillin (oxacillin) resistance rate for Staphylococcus aureus in wound cultures?,The oxacillin (MRSA) resistance rate for Staphylococcus aureus in wound cultures is 37.8%.
What is the vancomycin resistance rate for Enterococcus species in wound infections?,The vancomycin resistance rate for Enterococcus species in wound infections is 44.5%.
What percentage of Pseudomonas aeruginosa isolates from tissue are resistant to meropenem?,Meropenem resistance in Pseudomonas aeruginosa from tissue cultures is 10.9%.
How resistant is Escherichia coli from wound cultures to ciprofloxacin?,Ciprofloxacin resistance in Escherichia coli from wound cultures is 40.7%.
Which gram-positive organisms are most commonly found in tissue and abscess specimens?,"The most common gram-positive organisms in tissue specimens are: STAPH AUREUS COAG +, STAPHYLOCOCCUS, COAGULASE NEGATIVE, ENTEROCOCCUS SP.."
Are there fungal organisms isolated from wound and tissue cultures?,"Fungal organisms in wound cultures include: YEAST, CANDIDA ALBICANS, PRESUMPTIVE IDENTIFICATION, CANDIDA ALBICANS."
Which organism has the highest total isolate count in wound-related specimens?,STAPH AUREUS COAG + has the highest isolate count in wound-related specimens.
What antibiotic resistance patterns are most clinically significant in wound infections?,"Clinically significant resistance patterns include MRSA (oxacillin resistance) in Staphylococcus aureus, carbapenem resistance in Pseudomonas aeruginosa and Klebsiella pneumoniae, and vancomycin-resistant Enterococcus (VRE)."
